"parent" "sex" "offspring" "chrom" "left" "right" "meiosis" "distance_to_next" "dodgy_chromosome"
"8118424" "M" "8M71227" 4 15063177 15219732 "8118424_8M71227" 40444776 "no"
"8118424" "M" "8M71227" 4 55664508 55908060 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 5 7597163 9281637 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 6 14435711 14513121 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 7 28095966 28203457 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 8 42415836 42590173 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 9 9903990 10034253 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 11 18501123 19367108 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 12 15516661 15685722 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 13 11838243 11968911 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 14 2917550 3207677 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 17 10209886 10432549 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 21 2166401 2316692 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 26 1787308 3705941 "8118424_8M71227" NA "no"
"8118424" "M" "8M71227" 29 1694489 2066263 "8118424_8M71227" NA "no"
"8118424" "M" "8M71231" 1 107814710 107940881 "8118424_8M71231" NA "no"
"8118424" "M" "8M71231" 2 89523603 89595665 "8118424_8M71231" 54648064 "no"
"8118424" "M" "8M71231" 2 144243729 144653775 "8118424_8M71231" NA "no"
"8118424" "M" "8M71231" 4 756895 842402 "8118424_8M71231" NA "no"
"8118424" "M" "8M71231" 5 13107838 13274269 "8118424_8M71231" 34773863 "no"
"8118424" "M" "8M71231" 5 48048132 48157173 "8118424_8M71231" NA "no"
"8118424" "M" "8M71231" 8 1731795 1948705 "8118424_8M71231" NA "no"
"8118424" "M" "8M71231" 9 17633262 17974343 "8118424_8M71231" NA "no"
"8118424" "M" "8M71231" 12 10571672 10871460 "8118424_8M71231" NA "no"
"8118424" "M" "8M71231" 13 9097977 9125881 "8118424_8M71231" NA "no"
"8118424" "M" "8M71231" 15 72143 1241572 "8118424_8M71231" NA "no"
"8118424" "M" "8M71231" 17 3362007 3640848 "8118424_8M71231" NA "no"
"8118424" "M" "8M71231" 20 6384710 6453418 "8118424_8M71231" NA "no"
"8118424" "M" "8M71231" 27 3149145 3245082 "8118424_8M71231" NA "no"
"8118424" "M" "8M71231" 28 2811464 3126471 "8118424_8M71231" NA "no"
"8118424" "M" "8M71232" 1 21714043 21861344 "8118424_8M71232" NA "no"
"8118424" "M" "8M71232" 3 17225397 17332375 "8118424_8M71232" 78818864 "no"
"8118424" "M" "8M71232" 3 96151239 96794579 "8118424_8M71232" NA "no"
"8118424" "M" "8M71232" 4 65891509 65980302 "8118424_8M71232" NA "no"
"8118424" "M" "8M71232" 5 59272378 59492626 "8118424_8M71232" NA "no"
"8118424" "M" "8M71232" 8 20318788 20504713 "8118424_8M71232" NA "no"
"8118424" "M" "8M71232" 10 16650376 16989204 "8118424_8M71232" NA "no"
"8118424" "M" "8M71232" 12 12999395 13213640 "8118424_8M71232" NA "no"
"8118424" "M" "8M71232" 13 6768528 6864631 "8118424_8M71232" NA "no"
"8118424" "M" "8M71232" 14 7125071 7334131 "8118424_8M71232" NA "no"
"8118424" "M" "8M71232" 15 3853850 5094528 "8118424_8M71232" NA "no"
"8118424" "M" "8M71232" 17 8085601 8783660 "8118424_8M71232" NA "no"
"8118424" "M" "8M71232" 19 5047621 5721669 "8118424_8M71232" NA "no"
"8118424" "M" "8M71232" 23 1010691 2412053 "8118424_8M71232" NA "no"
"8118424" "M" "8N05472" 1 4820298 4885870 "8118424_8N05472" 82187760 "no"
"8118424" "M" "8N05472" 1 87073630 87253952 "8118424_8N05472" 21201927 "no"
"8118424" "M" "8N05472" 1 108455879 109810179 "8118424_8N05472" 1620311 "no"
"8118424" "M" "8N05472" 1 111430490 112673038 "8118424_8N05472" NA "no"
"8118424" "M" "8N05472" 3 9685526 9912201 "8118424_8N05472" 95267472 "no"
"8118424" "M" "8N05472" 3 105179673 105207701 "8118424_8N05472" NA "no"
"8118424" "M" "8N05472" 5 45500037 45808101 "8118424_8N05472" NA "no"
"8118424" "M" "8N05472" 6 75772 145642 "8118424_8N05472" 262967 "no"
"8118424" "M" "8N05472" 6 408609 792354 "8118424_8N05472" NA "no"
"8118424" "M" "8N05472" 8 3414381 3578136 "8118424_8N05472" 37099394 "no"
"8118424" "M" "8N05472" 8 40677530 40784412 "8118424_8N05472" NA "no"
"8118424" "M" "8N05472" 10 12838673 12959226 "8118424_8N05472" NA "no"
"8118424" "M" "8N05472" 11 1488521 1557606 "8118424_8N05472" NA "no"
"8118424" "M" "8N05472" 14 3555102 3761872 "8118424_8N05472" NA "no"
"8118424" "M" "8N05472" 22 1165341 2490684 "8118424_8N05472" NA "no"
"8118426" "M" "8M31543" 2 5144092 5214434 "8118426_8M31543" NA "no"
"8118426" "M" "8M31543" 4 19423778 19653239 "8118426_8M31543" NA "no"
"8118426" "M" "8M31543" 5 5302983 5610993 "8118426_8M31543" 52925430 "no"
"8118426" "M" "8M31543" 5 58536423 59075551 "8118426_8M31543" NA "no"
"8118426" "M" "8M31543" 6 3853151 4002684 "8118426_8M31543" NA "no"
"8118426" "M" "8M31543" 10 12604747 12716064 "8118426_8M31543" NA "no"
"8118426" "M" "8M31543" 11 14367919 14549272 "8118426_8M31543" NA "no"
"8118426" "M" "8M31543" 12 16375307 16595973 "8118426_8M31543" NA "no"
"8118426" "M" "8M31543" 13 15847201 16725681 "8118426_8M31543" NA "no"
"8118426" "M" "8M31543" 17 9556998 9698842 "8118426_8M31543" NA "no"
"8118426" "M" "8M31543" 18 6828923 7114902 "8118426_8M31543" NA "no"
"8118426" "M" "8M31543" 19 1275344 1818488 "8118426_8M31543" 2325214 "no"
"8118426" "M" "8M31543" 19 4143702 4409662 "8118426_8M31543" NA "no"
"8118426" "M" "8M31543" 20 1032446 1324856 "8118426_8M31543" NA "no"
"8118426" "M" "8M31543" 26 54501 1069529 "8118426_8M31543" NA "no"
"8118426" "M" "8M31543" 29 44688272 44755178 "8118426_8M31543" NA "no"
"8118426" "M" "8M31545" 1 111513647 112631476 "8118426_8M31545" NA "no"
"8118426" "M" "8M31545" 3 78068528 78295141 "8118426_8M31545" 27103085 "no"
"8118426" "M" "8M31545" 3 105398226 105925785 "8118426_8M31545" NA "no"
"8118426" "M" "8M31545" 4 52083576 60584218 "8118426_8M31545" NA "no"
"8118426" "M" "8M31545" 5 7549440 9236679 "8118426_8M31545" 46379245 "no"
"8118426" "M" "8M31545" 5 55615924 56031491 "8118426_8M31545" NA "no"
"8118426" "M" "8M31545" 6 1806551 1820793 "8118426_8M31545" NA "no"
"8118426" "M" "8M31545" 14 4880859 5476109 "8118426_8M31545" NA "no"
"8118426" "M" "8M31545" 19 4143702 4797290 "8118426_8M31545" NA "no"
"8118426" "M" "8M31545" 29 44423167 44728200 "8118426_8M31545" 828433 "no"
"8118426" "M" "8M31545" 29 45556633 45867057 "8118426_8M31545" 16028562 "no"
"8118426" "M" "8M31545" 29 61895619 62173819 "8118426_8M31545" NA "no"
"8118426" "M" "8M31548" 1 111513647 112631476 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 2 60511729 60803895 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 3 4714313 5452620 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 4 2542825 2745964 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 5 15473670 15625816 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 6 13462582 14154682 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 7 35143874 35227399 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 8 13878960 14000826 "8118426_8M31548" 24088695 "no"
"8118426" "M" "8M31548" 8 38089521 38119832 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 9 9087451 9340977 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 11 17541582 19367108 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 13 10969872 11068389 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 17 8373952 8888852 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 18 7330486 8380165 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 19 1262706 1818488 "8118426_8M31548" NA "no"
"8118426" "M" "8M31548" 24 255056 606239 "8118426_8M31548" NA "no"
"8118426" "M" "8M31756" 1 16295333 16583262 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 2 143676111 143892884 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 4 67739728 70115062 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 5 4383528 4457894 "8118426_8M31756" 51158030 "no"
"8118426" "M" "8M31756" 5 55615924 56031491 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 6 3049717 3265080 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 7 33929432 34542332 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 8 42731991 42884761 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 9 6122006 6350279 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 10 14860943 15048438 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 11 17745828 19870345 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 12 18164057 18591011 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 13 5270911 5403372 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 14 13585028 14055432 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 15 12306859 12642401 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 17 6172822 6718240 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 20 2208592 2617735 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 24 1316677 2058671 "8118426_8M31756" NA "no"
"8118426" "M" "8M31756" 27 861750 1276443 "8118426_8M31756" NA "no"
"8118432" "F" "8M31627" 1 42691433 42832121 "8118432_8M31627" 27156158 "no"
"8118432" "F" "8M31627" 1 69988279 72107086 "8118432_8M31627" 168176 "no"
"8118432" "F" "8M31627" 1 72275262 72415727 "8118432_8M31627" 36460980 "no"
"8118432" "F" "8M31627" 1 108876707 110010143 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 2 32793448 33200014 "8118432_8M31627" 80060601 "no"
"8118432" "F" "8M31627" 2 113260615 116941239 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 3 5491324 5626402 "8118432_8M31627" 70574438 "no"
"8118432" "F" "8M31627" 3 76200840 76292945 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 4 15177847 15687765 "8118432_8M31627" 31696773 "no"
"8118432" "F" "8M31627" 4 47384538 47658230 "8118432_8M31627" 16280392 "no"
"8118432" "F" "8M31627" 4 63938622 70190391 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 5 7544901 9174032 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 6 3239501 3659886 "8118432_8M31627" 26434663 "no"
"8118432" "F" "8M31627" 6 30094549 30331296 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 7 9258810 9490639 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 8 43492372 44598247 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 9 802886 1957827 "8118432_8M31627" 20476375 "no"
"8118432" "F" "8M31627" 9 22434202 22785413 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 12 7348748 7634927 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 13 15847201 16620590 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 14 4087661 4454087 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 18 389759 2061437 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 19 5057108 5721669 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 20 6551421 6865110 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 24 26854 2222147 "8118432_8M31627" NA "no"
"8118432" "F" "8M31627" 29 30634519 30788209 "8118432_8M31627" 14781216 "no"
"8118432" "F" "8M31627" 29 45569425 45812641 "8118432_8M31627" NA "no"
"8118433" "M" "8L89894" 1 51519756 51621456 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 2 134549143 134646990 "8118433_8L89894" 19154 "no"
"8118433" "M" "8L89894" 2 134666144 134739280 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 3 109075549 109396925 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 5 10661973 10880290 "8118433_8L89894" 46377226 "no"
"8118433" "M" "8L89894" 5 57257516 57347831 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 8 40794362 44465637 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 9 4211713 4284319 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 10 5761263 5933235 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 12 7880876 8256544 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 13 13656505 13800766 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 19 4154672 4474001 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 23 4932220 5732439 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 24 3801189 4120314 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 26 1787308 3098894 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 27 1961501 2269044 "8118433_8L89894" NA "no"
"8118433" "M" "8L89894" 28 2811767 3338328 "8118433_8L89894" NA "no"
"8118433" "M" "8L89896" 4 24556588 24733713 "8118433_8L89896" 43006015 "no"
"8118433" "M" "8L89896" 4 67739728 70267638 "8118433_8L89896" NA "no"
"8118433" "M" "8L89896" 6 792354 1350543 "8118433_8L89896" NA "no"
"8118433" "M" "8L89896" 7 34021270 34989694 "8118433_8L89896" NA "no"
"8118433" "M" "8L89896" 11 16220532 17171140 "8118433_8L89896" NA "no"
"8118433" "M" "8L89896" 15 8370811 9606649 "8118433_8L89896" NA "no"
"8118433" "M" "8L89896" 17 6262632 6606741 "8118433_8L89896" NA "no"
"8118433" "M" "8L89896" 24 4730214 5092366 "8118433_8L89896" NA "no"
"8118433" "M" "8L89896" 26 1787308 3098894 "8118433_8L89896" NA "no"
"8118433" "M" "8L89896" 28 1685491 2420394 "8118433_8L89896" NA "no"
"8118433" "M" "8L89896" 29 68067796 68314115 "8118433_8L89896" NA "no"
"8118433" "M" "8M31426" 1 2139866 2244982 "8118433_8M31426" NA "no"
"8118433" "M" "8M31426" 2 6640517 6914445 "8118433_8M31426" NA "no"
"8118433" "M" "8M31426" 3 9000400 9441775 "8118433_8M31426" NA "no"
"8118433" "M" "8M31426" 4 9685828 10391676 "8118433_8M31426" NA "no"
"8118433" "M" "8M31426" 5 7597163 9174032 "8118433_8M31426" NA "no"
"8118433" "M" "8M31426" 6 7101459 7203370 "8118433_8M31426" NA "no"
"8118433" "M" "8M31426" 7 33971851 34989694 "8118433_8M31426" NA "no"
"8118433" "M" "8M31426" 9 14301057 14460003 "8118433_8M31426" NA "no"
"8118433" "M" "8M31426" 11 14393739 14563489 "8118433_8M31426" NA "no"
"8118433" "M" "8M31426" 13 14611104 14939548 "8118433_8M31426" NA "no"
"8118433" "M" "8M31426" 15 7637116 8654552 "8118433_8M31426" NA "no"
"8118433" "M" "8M31426" 21 732736 1719087 "8118433_8M31426" NA "no"
"8118433" "M" "8M31426" 24 2936430 3753242 "8118433_8M31426" NA "no"
"8118433" "M" "8M31426" 26 566141 2102465 "8118433_8M31426" NA "no"
"8118433" "M" "8M71596" 1 52801383 52853933 "8118433_8M71596" 55200798 "no"
"8118433" "M" "8M71596" 1 108054731 108599805 "8118433_8M71596" NA "no"
"8118433" "M" "8M71596" 2 141983219 142073998 "8118433_8M71596" NA "no"
"8118433" "M" "8M71596" 3 7728348 7856606 "8118433_8M71596" NA "no"
"8118433" "M" "8M71596" 7 36352018 36487129 "8118433_8M71596" NA "no"
"8118433" "M" "8M71596" 17 7314839 7594951 "8118433_8M71596" NA "no"
"8118433" "M" "8M71596" 18 9265477 10402434 "8118433_8M71596" NA "no"
"8118433" "M" "8M71596" 19 3160212 3313507 "8118433_8M71596" NA "no"
"8118433" "M" "8M71596" 21 2048871 2095332 "8118433_8M71596" NA "no"
"8118433" "M" "8M71596" 23 6096217 6974644 "8118433_8M71596" NA "no"
"8118433" "M" "8M71596" 29 2291013 2434807 "8118433_8M71596" NA "no"
"8118433" "M" "8M72945" 2 9128458 9255486 "8118433_8M72945" NA "no"
"8118433" "M" "8M72945" 3 13137070 13292669 "8118433_8M72945" NA "no"
"8118433" "M" "8M72945" 5 25691965 53219880 "8118433_8M72945" NA "no"
"8118433" "M" "8M72945" 6 19452066 19635560 "8118433_8M72945" NA "no"
"8118433" "M" "8M72945" 7 35132985 36271904 "8118433_8M72945" NA "no"
"8118433" "M" "8M72945" 8 45416796 45632123 "8118433_8M72945" NA "no"
"8118433" "M" "8M72945" 9 19584110 20221623 "8118433_8M72945" NA "no"
"8118433" "M" "8M72945" 10 13571053 13940460 "8118433_8M72945" NA "no"
"8118433" "M" "8M72945" 11 13783623 14095857 "8118433_8M72945" NA "no"
"8118433" "M" "8M72945" 14 9654432 9829115 "8118433_8M72945" NA "no"
"8118433" "M" "8M72945" 18 4290056 4425894 "8118433_8M72945" NA "no"
"8118433" "M" "8M72945" 20 1568532 1795062 "8118433_8M72945" NA "no"
"8118433" "M" "8M72945" 23 3632963 4894648 "8118433_8M72945" NA "no"
"8118433" "M" "8M72945" 29 34505789 46119497 "8118433_8M72945" NA "no"
"8118433" "M" "8M72947" 1 98202986 98407504 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 3 6606717 7038080 "8118433_8M72947" 98209528 "no"
"8118433" "M" "8M72947" 3 105247608 105596316 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 4 67092875 70267638 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 5 3522252 4115906 "8118433_8M72947" 49925500 "no"
"8118433" "M" "8M72947" 5 54041406 54286314 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 7 20471406 21578964 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 9 8216835 8516715 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 10 3349568 3788324 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 13 8100745 8850015 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 14 7409821 7934002 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 15 3977892 4814925 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 17 6975296 8942561 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 19 1130264 1818488 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 20 1871670 2617735 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 24 2365694 4717339 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 26 1311807 3098894 "8118433_8M72947" NA "no"
"8118433" "M" "8M72947" 29 13234796 13471170 "8118433_8M72947" 48786112 "no"
"8118433" "M" "8M72947" 29 62257282 62341186 "8118433_8M72947" NA "no"
"8118433" "M" "8M72960" 1 87784401 87907142 "8118433_8M72960" NA "no"
"8118433" "M" "8M72960" 2 32826354 33037625 "8118433_8M72960" 107623975 "no"
"8118433" "M" "8M72960" 2 140661600 141027855 "8118433_8M72960" 534862 "no"
